Year,Organization
2019,52°North Initiative for Geospatial Open Source Software GmbH
2019,AboutCode.org
2019,AerospaceResearch.net
2019,aimacode
2019,Amahi
2019,Android Graphics Tools Team
2019,AOSSIE - Australian Open Source Software Innovation and Education
2019,Apertium
2019,apertus° Association
2019,API Client Tools at Google
2019,appleseedhq
2019,Ardupilot.org
2019,Bazel
2019,BeagleBoard.org
2019,Berkman Klein Center for Internet and Society
2019,"Biomedical Informatics, Emory University"
2019,Blender Foundation
2019,Boost C++
2019,BRL-CAD
2019,Buildroot
2019,Canadian Center for Computational Genomics
2019,Catrobat
2019,cBioPortal for Cancer Genomics
2019,CBMI@UTHSC
2019,CCExtractor Development
2019,Center for Research in Open Source Software at UC Santa Cruz
2019,CERN-HSF
2019,CGAL project
2019,CHAOSS
2019,Chapel
2019,Checker Framework
2019,CircuitVerse.org
2019,CiviCRM
2019,"CLiPS, University of Antwerp"
2019,Cloud Native Computing Foundation (CNCF)
2019,CloudCV
2019,coala
2019,Computational Biology @ University of Nebraska-Lincoln
2019,coreboot
2019,Creative Commons
2019,CRIU (Checkpoint/Restore in User-space)
2019,Cuneiform Digital Library Initiative (CDLI)
2019,D Programming Language
2019,DBpedia
2019,Debian
2019,Developers Italia
2019,Digital Impact Alliance
2019,Django Software Foundation
2019,Drupal
2019,Earth Science Information Partners
2019,Fedora Project
2019,FFmpeg
2019,FOSDEM
2019,FOSSASIA
2019,FOSSology Project
2019,FrameNet Brasil at the Federal University of Juiz de Fora
2019,Free and Open Source Silicon Foundation
2019,FreeBSD
2019,FreeType
2019,freifunk
2019,"Genes, Genomes and Variation"
2019,GENIVI Alliance
2019,Gentoo Foundation
2019,Git
2019,Global Alliance for Genomics and Health
2019,GNOME
2019,GNSS-SDR
2019,GNU Compiler Collection
2019,GNU Mailman
2019,GNU Octave
2019,GNU Radio
2019,Godot Engine
2019,gprMax
2019,Haiku
2019,Haskell.Org
2019,Hydra Ecosystem
2019,INCF
2019,Inkscape
2019,Institut für Angewandte Informatik (InfAI) e.V.
2019,Intel Media And Audio For Linux
2019,InterMine
2019,Internet Archive
2019,Internet Systems Consortium
2019,JabRef
2019,JBoss Community
2019,JdeRobot - Universidad Rey Juan Carlos
2019,Jenkins project
2019,Joomla
2019,JSK Robotics Laboratory / The University of Tokyo
2019,Kapitan
2019,KDE Community
2019,Kiwix
2019,KNIME
2019,Kodi Foundation
2019,LabLua
2019,Libre Space Foundation
2019,LibreHealth
2019,LibreOffice
2019,Libvirt
2019,Linkerd
2019,Liquid Galaxy project
2019,LLVM Compiler Infrastructure
2019,LuaRocks
2019,MacPorts
2019,MariaDB Foundation
2019,Matrix.org
2019,MBDyn - Multibody Dynamics
2019,MetaBrainz Foundation Inc
2019,MIT App Inventor
2019,mlpack
2019,Moira
2019,Moodle
2019,Mozilla
2019,MuseScore
2019,Named Data Networking Project
2019,National Resource for Network Biology (NRNB)
2019,Neovim
2019,Netfilter project
2019,NumFOCUS
2019,NV Access
2019,Open Astronomy
2019,Open Bioinformatics Foundation
2019,Open Chemistry
2019,Open Data Kit
2019,Open Roberta
2019,Open Source Robotics Foundation
2019,Open Technologies Aliance - GFOSS
2019,OpenCV
2019,OpenMRS
2019,OpenStreetMap
2019,OpenWISP
2019,Oppia Foundation
2019,OSGeo
2019,OWASP Foundation
2019,PEcAn Project
2019,Percona
2019,Performance Co-Pilot
2019,Pharo Consortium
2019,phpMyAdmin
2019,Pitivi
2019,PostgreSQL
2019,Project PANOPTES
2019,Public Lab
2019,Purr Data
2019,Python Software Foundation
2019,QEMU
2019,R project for statistical computing
2019,ReactOS
2019,Read the Docs
2019,Red Hen Lab
2019,RoboComp
2019,Rocket.Chat
2019,RTEMS Project
2019,Ruby
2019,Ruby Science Foundation
2019,SageMath
2019,Salesforce
2019,Samba
2019,SCoRe Lab (Sustainable Computing Research Lab)
2019,ScummVM
2019,shogun.ml
2019,Software and Computational Systems Lab at LMU Munich
2019,Software Heritage
2019,SPDX (Software Product Data Exchange)
2019,strace
2019,Submitty
2019,Sugar Labs
2019,Swift
2019,SymbiFlow
2019,SymPy
2019,Synfig
2019,syslog-ng
2019,TensorFlow
2019,The Apache Software Foundation
2019,The Center for Connected Learning and Computer-Based Modeling
2019,The Eclipse Foundation
2019,The GNU Project
2019,The Honeynet Project
2019,The Java Pathfinder Team
2019,The Julia Language
2019,The Libreswan Project
2019,The Linux Foundation
2019,The Mifos Initiative
2019,The NetBSD Foundation
2019,The ns-3 Network Simulator Project
2019,The Perl Foundation
2019,The Postgres Operator
2019,The Processing Foundation
2019,The Terasology Foundation
2019,The Vega Project at the University of Washington
2019,The Wine Project
2019,TimVideos.us
2019,Tokio
2019,Tungsten Fabric
2019,UCSC Xena
2019,VideoLAN
2019,webpack
2019,Wikimedia Foundation
2019,X.Org Foundation
2019,Xapian Search Engine Library
2019,Xi Editor
2019,XMPP Standards Foundation (XSF)
2019,xpra
2019,XWiki
2019,Zulip Open Source Project
2019,ZynAddSubFX
