Year,Organization
2023,52°North Spatial Information Research GmbH
2023,AboutCode
2023,AFLplusplus
2023,AOSSIE
2023,Apache Software Foundation
2023,Apertium
2023,ArduPilot
2023,BeagleBoard.org
2023,Blender Foundation
2023,BRL-CAD
2023,caMicroscope
2023,Carbon Language
2023,cBioPortal for Cancer Genomics
2023,CCExtractor Development
2023,Ceph
2023,CERN-HSF
2023,CGAL Project
2023,checkstyle
2023,CHIPS Alliance
2023,Chromium
2023,CircuitVerse.org
2023,CloudCV
2023,CNCF
2023,Cockpit Project
2023,coreboot
2023,Creative Commons
2023,CRIU
2023,Dart
2023,DBpedia
2023,"Department of Biomedical Informatics, Emory University"
2023,Django Software Foundation
2023,Drupal Association
2023,Eclipse Foundation
2023,FFmpeg
2023,FLARE
2023,Fortran-lang
2023,FOSSology
2023,Free and Open Source Silicon Foundation
2023,FreeCAD
2023,FreeType
2023,freifunk
2023,GCP Scanner
2023,Genome Assembly and Annotation
2023,Gentoo Foundation
2023,GeomScale
2023,Git
2023,GitLab
2023,Global Alliance for Genomics and Health
2023,GNOME Foundation
2023,GNU Compiler Collection (GCC)
2023,GNU Image Manipulation Program
2023,GNU Octave
2023,GNU Project
2023,GNU Radio
2023,GnuTLS
2023,gprMax
2023,GRAME
2023,Haiku
2023,INCF
2023,Inkscape
2023,International Catrobat Association
2023,Internet Archive
2023,Internet Health Report
2023,Invesalius
2023,Ivy (lets-unify.ai)
2023,JdeRobot
2023,Jenkins
2023,Jina AI
2023,KDE Community
2023,Keploy
2023,Kiwix
2023,Kotlin Foundation
2023,KubeVirt
2023,Learning Equality
2023,libcamera
2023,LibreHealth
2023,LibreOffice
2023,libssh
2023,libvirt
2023,Liquid Galaxy project
2023,LLVM Compiler Infrastructure
2023,Machine Learning for Science (ML4SCI)
2023,Mantis
2023,MariaDB
2023,Mathesar
2023,Mayor's Office of New Urban Mechanics
2023,MDAnalysis
2023,MetaBrainz Foundation Inc
2023,MetaCall
2023,Metasploit
2023,Micro Electronics Research Lab - UITU
2023,MIT App Inventor
2023,Mixxx
2023,mlpack
2023,MoveIt
2023,MuseScore
2023,MZmine and MS-DIAL
2023,National Resource for Network Biology (NRNB)
2023,NumFOCUS
2023,omegaUp
2023,Open Chemistry
2023,Open Genome Informatics
2023,Open Robotics
2023,Open Technologies Alliance - GFOSS
2023,OpenAstronomy
2023,OpenCV
2023,OpenMRS
2023,OpenStreetMap
2023,openSUSE Project
2023,OpenVINO Toolkit
2023,OpenWISP
2023,Oppia Foundation
2023,Organic Maps
2023,OSGeo (Open Source Geospatial Foundation)
2023,OWASP Foundation
2023,PEcAn Project
2023,Pharo Consortium
2023,Pitivi
2023,Plone Foundation
2023,PostgreSQL
2023,Postman
2023,Processing Foundation
2023,Purr Data
2023,Python Software Foundation
2023,Qdrant
2023,QEMU
2023,R project for statistical computing
2023,Red Hen Lab
2023,Rizin
2023,rocket.chat
2023,RTEMS Project
2023,Ruby
2023,SageMath
2023,Scala Center
2023,Scalable Parallel Computing Laboratory
2023,SCoRe Lab
2023,ScummVM
2023,Society for Arts and Technology (SAT)
2023,Software and Computational Systems Lab at LMU Munich
2023,SPDX
2023,SQLancer
2023,Ste||ar group
2023,strace
2023,"Stratosphere Laboratory, Czech Technical University in Prague"
2023,Submitty
2023,Sugar Labs
2023,Swift
2023,SymPy
2023,Synfig
2023,TARDIS RT Collaboration
2023,TensorFlow
2023,The ENIGMA Team
2023,The FreeBSD Project
2023,The Honeynet Project
2023,The JPF team
2023,The Julia Language
2023,The Linux Foundation
2023,The Mifos Initiative
2023,The NetBSD Foundation
2023,The ns-3 Network Simulator Project
2023,The Palisadoes Foundation
2023,The Tor Project
2023,UC OSPO
2023,Unikraft
2023,VideoLAN
2023,Wagtail
2023,Wikimedia Foundation
2023,X.Org Foundation
2023,XMPP Standards Foundation
2023,XWiki
2023,Zulip
2023,TensorFlow
2023,The ENIGMA Team
2023,The FreeBSD Project
2023,The Honeynet Project
2023,The JPF team
2023,The Julia Language
2023,The Linux Foundation
2023,The Mifos Initiative
2023,The NetBSD Foundation
2023,The ns-3 Network Simulator Project
2023,The Palisadoes Foundation
2023,The Tor Project
2023,UC OSPO
2023,Unikraft
2023,VideoLAN
2023,Wagtail
2023,Wikimedia Foundation
2023,X.Org Foundation
2023,XMPP Standards Foundation
2023,XWiki
2023,Zulip
